1	1	1	0.800000	-3.400000	0	0
1	1	2	0.550000	-2.150000	0	0
1	1	3	1.300000	-3.600000	0	0
1	2	1	-1.600000	-1.650000	0	0
1	2	2	-1.000000	-3.600000	0	0
1	2	3	-1.550000	-3.900000	0	0
1	3	1	1.000000	-2.450000	0	0
1	3	2	1.200000	-3.600000	0	0
1	3	3	1.400000	-3.600000	0	0
1	4	1	-0.750000	-3.500000	0	0
1	4	2	-1.950000	-2.600000	0	0
1	4	3	-1.700000	-1.500000	0	0
1	5	1	1.150000	-1.800000	0	0
1	5	2	1.700000	-3.400000	0	0
1	5	3	1.250000	-2.000000	0	0
1	6	1	0.000000	0.000000	0	0
1	6	2	0.000000	0.000000	0	0
1	6	3	0.000000	0.000000	0	0
2	1	1	1.450000	0.650000	0	0
2	1	2	1.000000	0.350000	0	0
2	1	3	1.800000	0.250000	0	0
2	1	4	0.450000	-1.750000	0	0
2	1	5	1.600000	-1.650000	0	0
2	1	6	0.750000	-2.000000	0	0
2	1	7	1.450000	0.950000	0	0
2	2	1	-1.550000	0.000000	0	0
2	2	2	-2.100000	0.650000	0	0
2	2	3	-1.300000	0.900000	0	0
2	2	4	-1.350000	-2.600000	0	0
2	2	5	-1.250000	-1.750000	0	0
2	2	6	-0.700000	-2.150000	0	0
2	2	7	-0.800000	0.100000	0	0
2	3	1	2.200000	0.100000	0	0
2	3	2	2.750000	0.850000	0	0
2	3	3	1.150000	1.450000	0	0
2	3	4	0.750000	-1.600000	0	0
2	3	5	1.250000	-1.400000	0	0
2	3	6	1.700000	-2.100000	0	0
2	3	7	1.100000	0.750000	0	0
2	4	1	-1.500000	0.500000	0	0
2	4	2	-1.400000	0.550000	0	0
2	4	3	-1.150000	-1.000000	0	0
2	4	4	-0.950000	-1.050000	0	0
2	4	5	-1.000000	-3.500000	0	0
2	4	6	-2.100000	-2.250000	0	0
2	4	7	-1.000000	2.200000	0	0
2	5	1	2.300000	2.200000	0	0
2	5	2	2.550000	0.450000	0	0
2	5	3	1.800000	0.950000	0	0
2	5	4	2.550000	-1.950000	0	0
2	5	5	2.100000	-2.750000	0	0
2	5	6	2.550000	-2.700000	0	0
2	5	7	1.950000	0.550000	0	0
2	6	1	0.000000	0.000000	0	0
2	6	2	0.000000	0.000000	0	0
2	6	3	0.000000	0.000000	0	0
2	6	4	0.000000	0.000000	0	0
2	6	5	0.000000	0.000000	0	0
2	6	6	0.000000	0.000000	0	0
2	6	7	0.000000	0.000000	0	0
3	1	1	-1.450000	0.350000	0	0
3	1	2	-1.300000	1.350000	0	0
3	1	3	-1.550000	-3.600000	0	0
3	1	4	-1.350000	0.650000	0	0
3	1	5	-1.700000	0.800000	0	0
3	1	6	-1.200000	1.950000	0	0
3	2	1	-2.000000	-2.350000	0	0
3	2	2	-0.850000	1.900000	0	0
3	2	3	-1.200000	-7.750000	0	0
3	2	4	-0.650000	-0.650000	0	0
3	2	5	-1.200000	1.350000	0	0
3	2	6	-1.050000	0.000000	0	0
3	3	1	-1.750000	-0.550000	0	0
3	3	2	-1.300000	0.000000	0	0
3	3	3	-0.800000	2.600000	0	0
3	3	4	-2.350000	-1.900000	0	0
3	3	5	-1.000000	0.100000	0	0
3	3	6	-1.750000	-1.500000	0	0
3	4	1	-1.050000	1.100000	0	0
3	4	2	-1.550000	-1.600000	0	0
3	4	3	-1.500000	-1.050000	0	0
3	4	4	-1.300000	3.450000	0	0
3	4	5	-1.050000	0.500000	0	0
3	4	6	-0.600000	0.500000	0	0
3	5	1	-0.950000	-0.300000	0	0
3	5	2	-1.400000	-0.950000	0	0
3	5	3	-1.500000	-3.100000	0	0
3	5	4	-1.100000	1.700000	0	0
3	5	5	-1.150000	1.100000	0	0
3	6	1	0.000000	0.000000	0	0
3	6	2	0.000000	0.000000	0	0
3	6	3	0.000000	0.000000	0	0
3	6	4	0.000000	0.000000	0	0
3	6	5	0.000000	0.000000	0	0
3	6	6	0.000000	0.000000	0	0
4	1	1	1.500000	7.700000	0	0
4	1	2	1.050000	-0.100000	0	0
4	1	3	1.150000	-2.500000	0	0
4	1	4	1.250000	-1.950000	0	0
4	1	5	0.700000	-0.800000	0	0
4	1	6	0.000000	0.000000	0	0
4	2	1	2.000000	0.900000	0	0
4	2	2	1.100000	-1.950000	0	0
4	2	3	1.250000	0.000000	0	0
4	2	4	2.550000	1.500000	0	0
4	2	5	0.400000	-3.500000	0	0
4	2	6	1.000000	0.650000	0	0
4	3	1	1.500000	1.700000	0	0
4	3	2	1.200000	-2.700000	0	0
4	3	3	1.200000	1.700000	0	0
4	3	4	1.550000	1.500000	0	0
4	3	5	1.500000	0.250000	0	0
4	3	6	1.550000	3.500000	0	0
4	4	1	1.250000	-1.750000	0	0
4	4	2	0.700000	-0.150000	0	0
4	4	3	1.150000	-1.150000	0	0
4	4	4	1.600000	-3.150000	0	0
4	4	5	0.950000	1.750000	0	0
4	4	6	0.700000	-2.050000	0	0
4	5	1	1.300000	0.150000	0	0
4	5	2	1.150000	-1.550000	0	0
4	5	3	1.550000	-0.400000	0	0
4	5	4	1.400000	-2.400000	0	0
4	5	5	1.100000	0.100000	0	0
4	6	1	0.000000	0.000000	0	0
4	6	2	0.000000	0.000000	0	0
4	6	3	0.000000	0.000000	0	0
4	6	4	0.000000	0.000000	0	0
4	6	5	0.000000	0.000000	0	0
4	6	6	0.000000	0.000000	0	0
5	1	1	1.150000	-0.100000	0	0
5	1	2	0.750000	3.600000	0	0
5	2	1	-1.650000	0.450000	0	0
5	2	2	-2.000000	2.850000	0	0
5	3	1	1.000000	0.350000	0	0
5	3	2	0.600000	2.900000	0	0
5	4	1	-0.650000	0.100000	0	0
5	4	2	-1.500000	2.350000	0	0
5	6	1	0.000000	0.000000	0	0
5	6	2	0.000000	0.000000	0	0
